Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
1.58000000E+02	-2.25518212E+01	
1.59000000E+02	-2.66087659E+01	
1.60000000E+02	-2.68344128E+01	
1.61000000E+02	-2.13564809E+01	
1.62000000E+02	-2.52447101E+01	
1.63000000E+02	-2.60929747E+01	
1.64000000E+02	-1.99315168E+01	
1.65000000E+02	-2.41193972E+01	
1.66000000E+02	-2.44566316E+01	
1.67000000E+02	-1.81840705E+01	
1.68000000E+02	-2.32019367E+01	
1.69000000E+02	-2.18031057E+01	
1.70000000E+02	-1.60041522E+01	
1.71000000E+02	-2.24899778E+01	
1.72000000E+02	-1.81021262E+01	
1.73000000E+02	-1.31396521E+01	
1.74000000E+02	-2.20126091E+01	
1.75000000E+02	-1.30505628E+01	
1.76000000E+02	-8.79818777E+00	
1.77000000E+02	-2.18703120E+01	
1.78000000E+02	-4.64120817E+00	
1.79000000E+02	1.57796077E+00	
1.80000000E+02	3.17067899E+01	
1.81000000E+02	1.57796077E+00	
1.82000000E+02	-4.64120817E+00	
1.83000000E+02	-2.18703120E+01	
1.84000000E+02	-8.79818777E+00	
1.85000000E+02	-1.30505628E+01	
1.86000000E+02	-2.20126091E+01	
1.87000000E+02	-1.31396521E+01	
1.88000000E+02	-1.81021262E+01	
1.89000000E+02	-2.24899778E+01	
1.90000000E+02	-1.60041522E+01	
1.91000000E+02	-2.18031057E+01	
1.92000000E+02	-2.32019367E+01	
1.93000000E+02	-1.81840705E+01	
1.94000000E+02	-2.44566316E+01	
1.95000000E+02	-2.41193972E+01	
1.96000000E+02	-1.99315168E+01	
1.97000000E+02	-2.60929747E+01	
1.98000000E+02	-2.52447101E+01	
1.99000000E+02	-2.13564809E+01	
2.00000000E+02	-2.68344128E+01	
2.01000000E+02	-2.66087659E+01	
2.02000000E+02	-2.25518212E+01	
2.03000000E+02	-2.69106192E+01	
2.04000000E+02	-2.82434623E+01	
2.05000000E+02	-2.36519093E+01	
2.06000000E+02	-2.65784702E+01	
2.07000000E+02	-3.00022706E+01	
2.08000000E+02	-2.48641419E+01	
2.09000000E+02	-2.61198240E+01	
2.10000000E+02	-3.10163190E+01	
2.11000000E+02	-2.64785723E+01	
2.12000000E+02	-2.58690293E+01	
2.13000000E+02	-3.01155534E+01	
2.14000000E+02	-2.87509684E+01	
2.15000000E+02	-2.62326432E+01	
2.16000000E+02	-2.82978877E+01	
2.17000000E+02	-3.08834590E+01	
2.18000000E+02	-2.76851657E+01	
2.19000000E+02	-2.72368488E+01	
2.20000000E+02	-3.00466036E+01	
2.21000000E+02	-3.02265587E+01	
2.22000000E+02	-2.78367351E+01	
2.23000000E+02	-2.81890659E+01	
2.24000000E+02	-3.05842878E+01	
2.25000000E+02	-3.02215001E+01	
2.26000000E+02	-2.84050424E+01	
2.27000000E+02	-2.86570767E+01	
2.28000000E+02	-3.04821114E+01	
2.29000000E+02	-3.07100005E+01	
2.30000000E+02	-2.92213943E+01	
2.31000000E+02	-2.88769306E+01	
2.32000000E+02	-2.99620770E+01	
2.33000000E+02	-3.09960115E+01	
2.34000000E+02	-3.03711826E+01	
2.35000000E+02	-2.94637089E+01	
2.36000000E+02	-2.94907518E+01	
2.37000000E+02	-3.03175199E+01	
