Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
1.58000000E+02	-2.49684626E+01	
1.59000000E+02	-1.69214534E+01	
1.60000000E+02	-1.70869179E+01	
1.61000000E+02	-2.45727408E+01	
1.62000000E+02	-1.54015359E+01	
1.63000000E+02	-1.60078494E+01	
1.64000000E+02	-2.43736438E+01	
1.65000000E+02	-1.39999074E+01	
1.66000000E+02	-1.40819002E+01	
1.67000000E+02	-2.49420967E+01	
1.68000000E+02	-1.26532931E+01	
1.69000000E+02	-1.13944290E+01	
1.70000000E+02	-2.25896049E+01	
1.71000000E+02	-1.14370748E+01	
1.72000000E+02	-8.05382396E+00	
1.73000000E+02	-1.49052679E+01	
1.74000000E+02	-1.04632233E+01	
1.75000000E+02	-3.77839757E+00	
1.76000000E+02	-6.14893281E+00	
1.77000000E+02	-9.83087675E+00	
1.78000000E+02	3.71412006E+00	
1.79000000E+02	8.37927612E+00	
1.80000000E+02	1.70228149E+01	
1.81000000E+02	8.37927612E+00	
1.82000000E+02	3.71412006E+00	
1.83000000E+02	-9.83087675E+00	
1.84000000E+02	-6.14893281E+00	
1.85000000E+02	-3.77839757E+00	
1.86000000E+02	-1.04632233E+01	
1.87000000E+02	-1.49052679E+01	
1.88000000E+02	-8.05382396E+00	
1.89000000E+02	-1.14370748E+01	
1.90000000E+02	-2.25896049E+01	
1.91000000E+02	-1.13944290E+01	
1.92000000E+02	-1.26532931E+01	
1.93000000E+02	-2.49420967E+01	
1.94000000E+02	-1.40819002E+01	
1.95000000E+02	-1.39999074E+01	
1.96000000E+02	-2.43736438E+01	
1.97000000E+02	-1.60078494E+01	
1.98000000E+02	-1.54015359E+01	
1.99000000E+02	-2.45727408E+01	
2.00000000E+02	-1.70869179E+01	
2.01000000E+02	-1.69214534E+01	
2.02000000E+02	-2.49684626E+01	
2.03000000E+02	-1.75256528E+01	
2.04000000E+02	-1.88601546E+01	
2.05000000E+02	-2.38612837E+01	
2.06000000E+02	-1.78515480E+01	
2.07000000E+02	-2.18095749E+01	
2.08000000E+02	-2.13700536E+01	
2.09000000E+02	-1.88974466E+01	
2.10000000E+02	-2.49313732E+01	
2.11000000E+02	-1.95998497E+01	
2.12000000E+02	-2.19100675E+01	
2.13000000E+02	-2.24040345E+01	
2.14000000E+02	-2.02229750E+01	
2.15000000E+02	-2.48490814E+01	
2.16000000E+02	-2.02999644E+01	
2.17000000E+02	-2.43469538E+01	
2.18000000E+02	-2.12498096E+01	
2.19000000E+02	-2.31409017E+01	
2.20000000E+02	-2.23807394E+01	
2.21000000E+02	-2.25211921E+01	
2.22000000E+02	-2.32275133E+01	
2.23000000E+02	-2.24071657E+01	
2.24000000E+02	-2.36372187E+01	
2.25000000E+02	-2.26143016E+01	
2.26000000E+02	-2.36617200E+01	
2.27000000E+02	-2.30705258E+01	
2.28000000E+02	-2.33951490E+01	
