Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
1.58000000E+02	-2.24307942E+01	
1.59000000E+02	-2.64288952E+01	
1.60000000E+02	-2.68039387E+01	
1.61000000E+02	-2.12302763E+01	
1.62000000E+02	-2.50708404E+01	
1.63000000E+02	-2.60276364E+01	
1.64000000E+02	-1.97905694E+01	
1.65000000E+02	-2.39445163E+01	
1.66000000E+02	-2.43402931E+01	
1.67000000E+02	-1.80181953E+01	
1.68000000E+02	-2.30158758E+01	
1.69000000E+02	-2.16214710E+01	
1.70000000E+02	-1.57974019E+01	
1.71000000E+02	-2.22760247E+01	
1.72000000E+02	-1.78341605E+01	
1.73000000E+02	-1.28565274E+01	
1.74000000E+02	-2.17326875E+01	
1.75000000E+02	-1.26268404E+01	
1.76000000E+02	-8.32281641E+00	
1.77000000E+02	-2.13866260E+01	
1.78000000E+02	-3.65423769E+00	
1.79000000E+02	3.16566643E+00	
1.80000000E+02	4.98632452E+00	
1.81000000E+02	3.16566643E+00	
1.82000000E+02	-3.65423769E+00	
1.83000000E+02	-2.13866260E+01	
1.84000000E+02	-8.32281641E+00	
1.85000000E+02	-1.26268404E+01	
1.86000000E+02	-2.17326875E+01	
1.87000000E+02	-1.28565274E+01	
1.88000000E+02	-1.78341605E+01	
1.89000000E+02	-2.22760247E+01	
1.90000000E+02	-1.57974019E+01	
1.91000000E+02	-2.16214710E+01	
1.92000000E+02	-2.30158758E+01	
1.93000000E+02	-1.80181953E+01	
1.94000000E+02	-2.43402931E+01	
1.95000000E+02	-2.39445163E+01	
1.96000000E+02	-1.97905694E+01	
1.97000000E+02	-2.60276364E+01	
1.98000000E+02	-2.50708404E+01	
1.99000000E+02	-2.12302763E+01	
2.00000000E+02	-2.68039387E+01	
2.01000000E+02	-2.64288952E+01	
2.02000000E+02	-2.24307942E+01	
2.03000000E+02	-2.68989669E+01	
2.04000000E+02	-2.80578006E+01	
2.05000000E+02	-2.35244938E+01	
2.06000000E+02	-2.65696236E+01	
2.07000000E+02	-2.98409351E+01	
2.08000000E+02	-2.47151939E+01	
2.09000000E+02	-2.60959409E+01	
2.10000000E+02	-3.09709311E+01	
2.11000000E+02	-2.62903497E+01	
2.12000000E+02	-2.56818124E+01	
2.13000000E+02	-2.98790251E+01	
2.14000000E+02	-2.88770570E+01	
2.15000000E+02	-2.61336920E+01	
2.16000000E+02	-2.80446907E+01	
2.17000000E+02	-3.09324345E+01	
2.18000000E+02	-2.76953800E+01	
2.19000000E+02	-2.70670137E+01	
2.20000000E+02	-2.98567352E+01	
2.21000000E+02	-3.03051883E+01	
2.22000000E+02	-2.77815695E+01	
2.23000000E+02	-2.80119087E+01	
2.24000000E+02	-3.04693883E+01	
2.25000000E+02	-3.02601336E+01	
2.26000000E+02	-2.83301462E+01	
2.27000000E+02	-2.85063940E+01	
2.28000000E+02	-3.03891313E+01	
2.29000000E+02	-3.07138142E+01	
2.30000000E+02	-2.91476081E+01	
2.31000000E+02	-2.87546357E+01	
2.32000000E+02	-2.98779159E+01	
2.33000000E+02	-3.09806783E+01	
2.34000000E+02	-3.03018670E+01	
2.35000000E+02	-2.93433025E+01	
2.36000000E+02	-2.94010179E+01	
2.37000000E+02	-3.03075435E+01	
2.38000000E+02	-3.09838676E+01	
2.39000000E+02	-3.05981151E+01	
2.40000000E+02	-3.00893188E+01	
2.41000000E+02	-2.97481546E+01	
2.42000000E+02	-3.00167204E+01	
2.43000000E+02	-3.06094322E+01	
2.44000000E+02	-3.09845549E+01	
2.45000000E+02	-3.08508899E+01	
2.46000000E+02	-3.04779982E+01	
2.47000000E+02	-3.02451998E+01	
2.48000000E+02	-3.02943816E+01	
2.49000000E+02	-3.04191863E+01	
2.50000000E+02	-3.07073492E+01	
2.51000000E+02	-3.09334656E+01	
2.52000000E+02	-3.09914622E+01	
2.53000000E+02	-3.09030516E+01	
2.54000000E+02	-3.08839537E+01	
2.55000000E+02	-3.07606387E+01	
2.56000000E+02	-3.06999362E+01	
2.57000000E+02	-3.07186362E+01	
2.58000000E+02	-3.07605425E+01	
2.59000000E+02	-3.07884523E+01	
2.60000000E+02	-3.08867837E+01	
2.61000000E+02	-3.09102808E+01	
2.62000000E+02	-3.09425410E+01	
2.63000000E+02	-3.09758855E+01	
2.64000000E+02	-3.09774582E+01	
2.65000000E+02	-3.09910719E+01	
2.66000000E+02	-3.09880465E+01	
2.67000000E+02	-3.09906264E+01	
2.68000000E+02	-3.09921449E+01	
2.69000000E+02	-3.09923965E+01	
2.70000000E+02	-3.09964416E+01	
2.71000000E+02	-3.09923965E+01	
2.72000000E+02	-3.09921449E+01	
2.73000000E+02	-3.09924183E+01	
2.74000000E+02	-3.09880465E+01	
2.75000000E+02	-3.09910719E+01	
2.76000000E+02	-3.09774582E+01	
2.77000000E+02	-3.09758855E+01	
2.78000000E+02	-3.09425410E+01	
2.79000000E+02	-3.09102808E+01	
2.80000000E+02	-3.08867837E+01	
2.81000000E+02	-3.07884523E+01	
2.82000000E+02	-3.07605425E+01	
2.83000000E+02	-3.07186362E+01	
2.84000000E+02	-3.06999362E+01	
2.85000000E+02	-3.07606387E+01	
2.86000000E+02	-3.08839537E+01	
2.87000000E+02	-3.09030516E+01	
2.88000000E+02	-3.09914622E+01	
2.89000000E+02	-3.09334656E+01	
2.90000000E+02	-3.07073492E+01	
2.91000000E+02	-3.04191863E+01	
2.92000000E+02	-3.02943816E+01	
2.93000000E+02	-3.02451998E+01	
2.94000000E+02	-3.04779982E+01	
2.95000000E+02	-3.08508899E+01	
2.96000000E+02	-3.09845549E+01	
2.97000000E+02	-3.06094322E+01	
2.98000000E+02	-3.00167204E+01	
2.99000000E+02	-2.97481546E+01	
3.00000000E+02	-3.00893188E+01	
3.01000000E+02	-3.05981151E+01	
3.02000000E+02	-3.09838676E+01	
3.03000000E+02	-3.03075435E+01	
3.04000000E+02	-2.94010179E+01	
3.05000000E+02	-2.93433025E+01	
3.06000000E+02	-3.03018670E+01	
3.07000000E+02	-3.09806783E+01	
3.08000000E+02	-2.98779159E+01	
3.09000000E+02	-2.87546357E+01	
3.10000000E+02	-2.91476081E+01	
3.11000000E+02	-3.07138142E+01	
3.12000000E+02	-3.03891313E+01	
3.13000000E+02	-2.85063940E+01	
3.14000000E+02	-2.83301462E+01	
3.15000000E+02	-3.02601336E+01	
3.16000000E+02	-3.04693883E+01	
3.17000000E+02	-2.80119087E+01	
3.18000000E+02	-2.77815695E+01	
3.19000000E+02	-3.03051883E+01	
3.20000000E+02	-2.98567352E+01	
3.21000000E+02	-2.70670137E+01	
3.22000000E+02	-2.76953800E+01	
3.23000000E+02	-3.09324345E+01	
