Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
1.59000000E+02	-4.35275816E+01	
1.60000000E+02	-4.37155748E+01	
1.61000000E+02	-4.88752865E+01	
1.62000000E+02	-4.50977559E+01	
1.63000000E+02	-3.80702938E+01	
1.64000000E+02	-3.38816774E+01	
1.65000000E+02	-3.19599748E+01	
1.66000000E+02	-3.19137632E+01	
1.67000000E+02	-3.39776341E+01	
1.68000000E+02	-3.92173161E+01	
1.69000000E+02	-4.65067369E+01	
1.70000000E+02	-4.68097364E+01	
1.71000000E+02	-3.90301099E+01	
1.72000000E+02	-2.75375120E+01	
1.73000000E+02	-2.00736720E+01	
1.74000000E+02	-1.47853852E+01	
1.75000000E+02	-1.08469213E+01	
1.76000000E+02	-7.88931214E+00	
1.77000000E+02	-5.71754385E+00	
1.78000000E+02	-4.21675666E+00	
1.79000000E+02	-3.32275640E+00	
1.80000000E+02	-3.00259860E+00	
1.81000000E+02	-3.34752857E+00	
1.82000000E+02	-4.31809186E+00	
1.83000000E+02	-5.90079077E+00	
1.84000000E+02	-8.15116010E+00	
1.85000000E+02	-1.11588110E+01	
1.86000000E+02	-1.50787660E+01	
1.87000000E+02	-2.01946296E+01	
1.88000000E+02	-2.71300298E+01	
1.89000000E+02	-3.76323801E+01	
1.90000000E+02	-6.37977086E+01	
1.91000000E+02	-5.74930042E+01	
1.92000000E+02	-4.04160204E+01	
1.93000000E+02	-3.36904168E+01	
1.94000000E+02	-3.03431996E+01	
1.95000000E+02	-2.90297624E+01	
1.96000000E+02	-2.93583463E+01	
1.97000000E+02	-3.13276117E+01	
1.98000000E+02	-3.52433752E+01	
1.99000000E+02	-4.19530382E+01	
2.00000000E+02	-5.36148439E+01	
2.01000000E+02	-6.06838992E+01	
2.02000000E+02	-4.70958166E+01	
2.03000000E+02	-4.06455717E+01	
2.04000000E+02	-3.77254663E+01	
2.05000000E+02	-3.72248913E+01	
2.06000000E+02	-3.89104446E+01	
2.07000000E+02	-4.28707015E+01	
2.08000000E+02	-4.87404465E+01	
2.09000000E+02	-5.11410085E+01	
2.10000000E+02	-5.20993723E+01	
2.11000000E+02	-5.81143705E+01	
2.12000000E+02	-6.58979858E+01	
2.13000000E+02	-5.68112048E+01	
2.14000000E+02	-4.98869413E+01	
